round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.022071,0.025785,0.002996,0.060312,4.129135,5,1.406,2.8505,0.078
2,0.200005,0.363742,0.015955,0.849705,3.276033,5,1.5619,3.1537,0.0973
3,0.361612,0.401985,0.034997,0.824584,2.598093,5,1.6943,3.4512,0.084
4,0.179935,0.257473,0.022625,0.637337,3.244797,5,1.7854,3.4625,0.0792
5,0.390845,0.390387,0.007363,0.818213,2.390978,5,1.7846,3.5031,0.0812
6,0.65714,0.329135,0.07623,0.849545,1.470123,5,1.7753,3.483,0.0818
7,0.696908,0.288703,0.181999,0.863499,1.126002,5,1.7695,3.4944,0.0844
8,0.842415,0.019783,0.818261,0.867845,0.602706,5,1.7563,3.4856,0.0838
9,0.848766,0.022549,0.823081,0.873527,0.538872,5,1.7866,3.4436,0.0826
10,0.850492,0.022366,0.821273,0.875606,0.482582,5,1.813,3.456,0.0826
11,0.850178,0.020717,0.825356,0.87871,0.628269,5,1.8086,3.4624,0.0808
12,0.858784,0.024128,0.82877,0.88167,0.473468,5,1.7773,3.4842,0.0806
13,0.858213,0.027282,0.823616,0.894491,0.638626,5,1.7711,3.4583,0.0803
14,0.858726,0.023182,0.827097,0.88297,0.460586,5,1.8136,3.4441,0.0784
15,0.86202,0.022863,0.835799,0.884371,0.53901,5,1.817,3.4506,0.0789
16,0.864355,0.025348,0.83513,0.887402,0.442486,5,1.79,3.4768,0.0828
17,0.857885,0.032661,0.807015,0.884442,0.627101,5,1.7743,3.4935,0.0803
18,0.863014,0.022275,0.837071,0.890333,0.486215,5,1.7742,3.4699,0.083
19,0.859957,0.022501,0.835063,0.887059,0.673911,5,1.7998,3.4624,0.0819
20,0.868602,0.024568,0.83841,0.892758,0.444491,5,1.7977,3.485,0.0812
21,0.868326,0.023499,0.842909,0.890506,0.462285,5,1.7476,3.5603,0.0802
22,0.868949,0.021711,0.841154,0.88906,0.462237,5,1.6502,3.6464,0.0836
23,0.87019,0.024333,0.838276,0.892498,0.433288,5,1.5794,3.679,0.0847
24,0.867482,0.01904,0.844166,0.888832,0.610872,5,1.5973,3.6546,0.0856
25,0.869716,0.031609,0.823951,0.899602,0.509892,5,1.6232,3.6315,0.082
26,0.872286,0.025766,0.838142,0.899688,0.424454,5,1.6572,3.6213,0.0878
27,0.873269,0.022883,0.843564,0.897003,0.423955,5,1.6454,3.6282,0.0862
28,0.870524,0.025216,0.835732,0.893971,0.518049,5,1.6074,3.4599,0.0821
29,0.87491,0.024216,0.845639,0.899255,0.423762,5,1.5415,3.2885,0.0859
30,0.873049,0.023424,0.842694,0.89527,0.492286,5,1.5186,3.1032,0.0811
31,0.874582,0.022314,0.846978,0.894924,0.465546,5,1.4916,2.9903,0.0854
32,0.874356,0.024631,0.844702,0.900814,0.413689,5,1.5623,2.8955,0.0828
33,0.874641,0.022747,0.845773,0.89683,0.413667,5,1.5,2.7857,0.0801
34,0.873957,0.024438,0.841489,0.896396,0.432402,5,1.4314,2.6878,0.0781
35,0.874442,0.023142,0.845505,0.895522,0.412972,5,1.3581,2.5935,0.0695
36,0.870181,0.022508,0.845304,0.892091,0.455185,4,1.3196,2.2939,0.062
37,0.870084,0.025881,0.841221,0.896609,0.434194,4,1.1896,2.2222,0.0578
38,0.869876,0.02364,0.847781,0.893921,0.447536,4,1.1757,2.2209,0.0621
39,0.879609,0.020076,0.857128,0.895751,0.412603,3,1.18,2.0311,0.0501
40,0.880258,0.021163,0.856078,0.895408,0.408929,3,1.1953,2.0418,0.0504
41,0.878023,0.023141,0.851566,0.894493,0.406858,3,1.1884,2.038,0.0499
42,0.877661,0.025642,0.848471,0.896552,0.490673,3,1.1867,2.0373,0.0513
43,0.877678,0.023464,0.850989,0.895065,0.466314,3,1.1986,1.9596,0.0426
44,0.881683,0.020948,0.857653,0.896094,0.410349,3,1.0391,1.8382,0.041
45,0.889647,0.001273,0.888747,0.890547,0.434161,2,0.9562,1.7294,0.0393
46,0.893072,0.004518,0.889877,0.896266,0.406078,2,0.9653,1.736,0.0415
47,0.893014,0.004923,0.889533,0.896495,0.373393,2,0.8613,1.3196,0.0149
48,0.882564,0.018972,0.869149,0.89598,0.49552,2,0.5927,1.1946,0.014
49,0.892408,0.00497,0.888894,0.895923,0.389943,2,0.5827,1.207,0.0151
50,0.702721,0.267972,0.513237,0.892206,1.233712,2,0.5904,1.2153,0.0152
51,0.888993,0.0,0.888993,0.888993,0.402836,1,0.4177,1.0249,0.0024
52,0.886979,0.0,0.886979,0.886979,0.414099,1,0.4211,0.9979,0.0023
53,0.890417,0.0,0.890417,0.890417,0.41086,1,0.4377,0.9947,0.0023
